Mese,Anno ,Incidenti,Morti,Feriti,Incidenti mortali,Percentuale incidenti,Percentuale incidenti mortali,Percentuale morti,Percentuale feriti,Indice di mortalità generico,Indice di gravità,Indice di lesività,Indice specifico di mortalità ,Indice specifico di incidentalità
     Gennaio,2003,19537,528,28305,481,"7,74","0,19","8,05","7,94","2,70","1,83","144,88","109,77","2,46"
     Febbraio,2003,17539,417,24847,386,"6,95","0,15","6,35","6,97","2,38","1,65","141,67","108,03","2,20"
     Marzo,2003,21337,530,30607,474,"8,46","0,19","8,08","8,59","2,48","1,70","143,45","111,81","2,22"
1° Trimestre,2003,58413,1475,83759,1341,"23,15","0,53","22,47","23,50","2,53","1,73","143,39","109,99","2,30"
     Aprile,2003,21205,526,30576,482,"8,41","0,19","8,01","8,58","2,48","1,69","144,19","109,13","2,27"
     Maggio,2003,24756,623,34753,562,"9,81","0,22","9,49","9,75","2,52","1,76","140,38","110,85","2,27"
     Giugno,2003,25311,717,35608,636,"10,03","0,25","10,92","9,99","2,83","1,97","140,68","112,74","2,51"
2° Trimestre,2003,71272,1866,100937,168,"28,25","0,67","28,43","28,32","2,62","1,82","141,62","111,07","2,36"
     Luglio,2003,22841,612,31378,534,"9,05","0,21","9,33","8,80","2,68","1,91","137,38","114,61","2,34"
     Agosto,2003,17717,538,25884,489,"7,02","0,19","8,20","7,26","3,04","2,04","146,10","110,02","2,76"
     Settembre,2003,20669,515,2844,472,"8,19","0,19","7,85","7,98","2,49","1,78","137,60","109,11","2,28"
3° Trimestre,2003,61227,1665,85702,1495,"24,27","0,59","25,37","24,04","2,72","1,91","139,97","111,37","2,44"
     Ottobre,2003,21754,566,30139,514,"8,62","0,20","8,62","8,45","2,60","1,84","138,55","110,12","2,36"
     Novembre,2003,19729,462,27747,427,"7,82","0,17","7,04","7,78","2,34","1,64","140,64","108,20","2,16"
     Dicembre,2003,19876,529,28191,472,"7,88","0,19","8,06","7,91","2,66","1,84","141,83","112,08","2,38"
4° Trimestre,2003,61359,1557,86077,1413,"24,32","0,56","23,72","24,15","2,54","1,78","140,28","110,19","2,30",,
     Gennaio,2004,18112,437,25653,400,"7,44","0,16","7,14","7,48","2,41","1,68","141,64","109,25","2,21",,
     Febbraio,2004,17048,376,24406,349,"7,00","0,14","6,14","7,11","2,21","1,52","143,16","107,74","2,05",,
     Marzo,2004,19087,418,26801,384,"7,84","0,16","6,83","7,81","2,19","1,54","140,42","108,85","2,01",,
1° Trimestre,2004,54247,1231,7686,1133,"22,28","0,47","20,11","22,40","2,27","1,58","141,69","108,65","2,09",, 
     Aprile,2004,20263,484,28744,426,"8,32","0,17","7,91","8,38","2,39","1,66","141,86","113,62","2,10",,
     Maggio,2004,22729,569,32054,515,"9,33","0,21","9,29","9,34","2,50","1,74","141,03","110,49","2,27",,
     Giugno,2004,23344,579,32502,528,"9,59","0,22","9,46","9,47","2,48","1,75","139,23","109,66","2,26",,
2° Trimestre,2004,66336,1632,933,1469,"27,24","0,60","26,66","27,19","2,46","1,72","140,65","111,10","2,21",,
